NM,H2,CH4,C2H6,C2H4,C2H2,Type
1,3930,2397,157,0,0,Partial discharge
2,37800,1740,249,8,8,Partial discharge
3,92600,10200,0,0,0,Partial discharge
4,8266,1061,22,0,0,Partial discharge
5,9340,995,60,6,7,Partial discharge
6,36036,4704,554,5,10,Partial discharge
7,33046,619,58,2,0,Partial discharge
8,40280,1069,1060,1,1,Partial discharge
9,26788,18342,2111,27,0,Partial discharge
10,78,20,11,13,28,Spark discharge
11,305,100,33,161,541,Spark discharge
12,35,6,3,26,482,Spark discharge
13,543,120,41,411,1880,Spark discharge
14,1230,163,27,233,692,Spark discharge
15,645,86,13,110,317,Spark discharge
16,60,10,4,4,4,Spark discharge
17,95,10,0,11,39,Spark discharge
18,6870,1028,79,900,5500,Spark discharge
19,10092,5399,530,6500,37565,Spark discharge
20,650,81,170,51,270,Spark discharge
21,210,22,6,6,7,Spark discharge
22,385,60,8,53,159,Spark discharge
23,4230,690,5,196,1180,Spark discharge
24,7600,1230,318,836,1560,Spark discharge
25,595,80,9,89,244,Spark discharge
26,120,25,1,8,40,Spark discharge
27,8,0,0,43,101,Spark discharge
28,6454,2313,121,2159,6432,Spark discharge
29,2177,1049,207,440,705,Spark discharge
30,1790,580,321,336,619,Spark discharge
31,1330,10,20,66,182,Spark discharge
32,4,1,2,7,52,Spark discharge
33,1900,285,31,957,7730,Spark discharge
34,57,24,2,27,30,Spark discharge
35,1000,500,1,400,500,Spark discharge
36,440,89,19,304,757,Arc discharge
37,210,43,12,102,187,Arc discharge
38,2850,1115,138,1987,3675,Arc discharge
39,7020,1850,0,2960,4410,Arc discharge
40,545,130,16,153,239,Arc discharge
41,7150,1440,97,1210,1760,Arc discharge
42,620,325,38,181,244,Arc discharge
43,120,31,0,66,94,Arc discharge
44,755,229,32,404,460,Arc discharge
45,5100,1430,0,1140,1010,Arc discharge
46,13500,6110,212,4510,4040,Arc discharge
47,1570,1110,175,1780,1830,Arc discharge
48,3090,5020,323,3800,2540,Arc discharge
49,1820,405,35,365,634,Arc discharge
50,535,160,16,305,680,Arc discharge
51,13,3,1,3,6,Arc discharge
52,137,67,7,53,104,Arc discharge
53,1084,188,8,166,769,Arc discharge
54,34,21,4,49,56,Arc discharge
55,7940,2000,355,3120,5390,Arc discharge
56,150,130,9,55,30,Arc discharge
57,8200,3790,250,4620,5830,Arc discharge
58,260,215,35,334,277,Arc discharge
59,75,15,7,14,26,Arc discharge
60,530,345,85,266,250,Arc discharge
61,60.0,5.0,2.0,21.0,21.0,Arc discharge
62,90.0,28.0,8.0,31.0,32.0,Arc discharge
63,220.0,77.0,22.0,170.0,240.0,Arc discharge
64,5900.0,1500.0,68.0,1200.0,2300.0,Arc discharge
65,420.0,250.0,41.0,530.0,800.0,Arc discharge
66,2800.0,2800.0,234.0,3500.0,3600.0,Arc discharge
67,99.0,170.0,20.0,200.0,190.0,Arc discharge
68,310.0,230.0,54.0,610.0,760.0,Arc discharge
69,800.0,160.0,23.0,260.0,600.0,Arc discharge
70,1500.0,395.0,28.0,395.0,323.0,Arc discharge
71,20000.0,13000.0,1850.0,29000.0,57000.0,Arc discharge
72,305.0,85.0,25.0,197.0,130.0,Arc discharge
73,1900.0,530.0,35.0,383.0,434.0,Arc discharge
74,110.0,62.0,90.0,140.0,250.0,Arc discharge
75,3700.0,1690.0,128.0,2810.0,3270.0,Arc discharge
76,2770.0,660.0,54.0,712.0,763.0,Arc discharge
77,245.0,120.0,18.0,131.0,167.0,Arc discharge
78,1170.0,255.0,18.0,312.0,325.0,Arc discharge
79,4419.0,3564.0,668.0,2861.0,2025.0,Arc discharge
80,810.0,280.0,111.0,570.0,490.0,Arc discharge
81,5000.0,1200.0,83.0,1000.0,1100.0,Arc discharge
82,10000.0,6730.0,345.0,7330.0,10400.0,Arc discharge
83,1570.0,735.0,87.0,1330.0,1740.0,Arc discharge
84,8800.0,64064.0,72128.0,95650.0,0.0,High-temperature overheating
85,6709.0,10500.0,1400.0,17700.0,750.0,High-temperature overheating
86,1100.0,1600.0,221.0,2010.0,26.0,High-temperature overheating
87,290.0,966.0,299.0,1810.0,57.0,High-temperature overheating
88,2500.0,10500.0,4790.0,13500.0,6.0,High-temperature overheating
89,1860.0,4980.0,0.0,10700.0,1600.0,High-temperature overheating
90,860.0,1670.0,30.0,2050.0,40.0,High-temperature overheating
91,150.0,22.0,9.0,60.0,11.0,High-temperature overheating
92,400.0,940.0,210.0,820.0,24.0,High-temperature overheating
93,6.0,2990.0,29990.0,26076.0,67.0,High-temperature overheating
94,100.0,200.0,110.0,670.0,11.0,High-temperature overheating
95,290.0,1260.0,231.0,820.0,8.0,High-temperature overheating
96,1550.0,2740.0,816.0,5450.0,184.0,High-temperature overheating
97,3910.0,4290.0,626.0,6040.0,1230.0,High-temperature overheating
98,12705.0,23498.0,6047.0,34257.0,5188.0,High-temperature overheating
99,1.0,8.0,8.0,100.0,6.0,High-temperature overheating
